rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0001.jpg,0.4,0.7557,0.7364,0.625,1.0,11,5,False,True
2,frame_0073.jpg,29.2,0.7484,0.7218,0.625,1.0,7,5,False,True
3,frame_0169.jpg,67.6,0.7331,0.8082,0.75,0.52,8,6,False,True
4,frame_0069.jpg,27.6,0.7321,0.6892,0.625,1.0,7,5,False,False
5,frame_0007.jpg,2.8,0.7264,0.6778,0.625,1.0,6,5,False,True
6,frame_0291.jpg,116.4,0.7223,0.7335,0.625,0.84,7,5,False,True
7,frame_0070.jpg,28.0,0.7202,0.8154,0.375,1.0,4,3,False,False
8,frame_0292.jpg,116.8,0.7151,0.6601,0.75,0.8,6,6,False,False
9,frame_0079.jpg,31.6,0.7083,0.7216,0.625,0.8,8,5,False,True
10,frame_0074.jpg,29.6,0.707,0.714,0.5,1.0,8,4,False,False
11,frame_0031.jpg,12.4,0.6978,0.6205,0.625,1.0,9,5,False,True
12,frame_0328.jpg,131.2,0.6955,0.759,1.0,0.08,11,8,False,True
13,frame_0002.jpg,0.8,0.6907,0.6065,0.625,1.0,8,5,False,False
14,frame_0008.jpg,3.2,0.6895,0.8291,0.25,1.0,3,2,False,False
15,frame_0126.jpg,50.4,0.6843,0.6896,0.625,0.76,8,5,False,True
16,frame_0367.jpg,146.8,0.6827,0.7335,1.0,0.08,9,8,False,True
17,frame_0276.jpg,110.4,0.6777,0.8094,0.75,0.24,8,6,False,True
18,frame_0387.jpg,154.8,0.6769,0.8239,0.75,0.2,9,6,False,True
19,frame_0077.jpg,30.8,0.6759,0.7748,0.375,0.88,7,3,False,False
20,frame_0005.jpg,2.0,0.6708,0.6416,0.5,1.0,6,4,False,False
21,frame_0075.jpg,30.0,0.6681,0.6522,0.5,0.96,7,4,False,False
22,frame_0377.jpg,150.8,0.6628,0.7526,0.875,0.12,11,7,False,False
23,frame_0297.jpg,118.8,0.6613,0.6326,0.75,0.6,8,6,False,False
24,frame_0072.jpg,28.8,0.6605,0.696,0.375,1.0,8,3,False,False
25,frame_0378.jpg,151.2,0.658,0.6839,1.0,0.08,11,8,False,False
26,frame_0000.jpg,0.0,0.651,0.602,0.5,1.0,8,4,False,False
27,frame_0293.jpg,117.2,0.6475,0.6159,0.625,0.76,6,5,False,False
28,frame_0003.jpg,1.2,0.6419,0.5088,0.625,1.0,6,5,False,False
29,frame_0004.jpg,1.6,0.6378,0.5755,0.5,1.0,6,4,False,False
30,frame_0026.jpg,10.4,0.6377,0.5753,0.5,1.0,4,4,False,False
31,frame_0231.jpg,92.4,0.6318,0.6746,0.875,0.16,8,7,False,False
32,frame_0071.jpg,28.4,0.6316,0.5632,0.5,1.0,6,4,False,False
33,frame_0375.jpg,150.0,0.6291,0.8783,0.5,0.2,11,4,False,False
34,frame_0127.jpg,50.8,0.6277,0.6354,0.5,0.8,7,4,False,False
35,frame_0379.jpg,151.6,0.6275,0.714,0.875,0.04,10,7,False,False
36,frame_0067.jpg,26.8,0.6246,0.5492,0.5,1.0,8,4,False,False
37,frame_0368.jpg,147.2,0.623,0.6301,1.0,0.04,10,8,False,False
38,frame_0128.jpg,51.2,0.6223,0.6086,0.5,0.84,6,4,False,False
39,frame_0284.jpg,113.6,0.6209,0.8677,0.25,0.56,6,2,False,False
40,frame_0015.jpg,6.0,0.619,0.613,0.375,1.0,5,3,False,False
41,frame_0170.jpg,68.0,0.6169,0.7417,0.5,0.48,6,4,False,False
42,frame_0389.jpg,155.6,0.6143,0.7307,0.75,0.12,9,6,False,False
43,frame_0385.jpg,154.0,0.6074,0.6097,0.875,0.2,8,7,False,False
44,frame_0290.jpg,116.0,0.6062,0.5924,0.5,0.8,6,4,False,False
45,frame_0302.jpg,120.8,0.606,0.677,0.625,0.4,7,5,False,False
46,frame_0301.jpg,120.4,0.6053,0.7346,0.5,0.44,8,4,False,False
47,frame_0294.jpg,117.6,0.6048,0.6216,0.5,0.72,5,4,False,False
48,frame_0184.jpg,73.6,0.6016,0.7962,0.625,0.08,7,5,False,False
49,frame_0384.jpg,153.6,0.5998,0.7606,0.625,0.16,9,5,False,False
50,frame_0318.jpg,127.2,0.5971,0.7232,0.625,0.24,8,5,False,False
51,frame_0167.jpg,66.8,0.5967,0.7284,0.375,0.6,6,3,False,False
52,frame_0329.jpg,131.6,0.5963,0.7857,0.625,0.08,13,5,False,False
53,frame_0283.jpg,113.2,0.5946,0.6811,0.5,0.52,5,4,False,False
54,frame_0068.jpg,27.2,0.5941,0.4882,0.5,1.0,7,4,False,False
55,frame_0016.jpg,6.4,0.591,0.4819,0.5,1.0,6,4,False,False
56,frame_0013.jpg,5.2,0.5901,0.5552,0.375,1.0,4,3,False,False
57,frame_0285.jpg,114.0,0.5879,0.7109,0.375,0.6,6,3,False,False
58,frame_0078.jpg,31.2,0.5849,0.5338,0.5,0.84,7,4,False,False
59,frame_0095.jpg,38.0,0.5808,0.6476,0.75,0.16,6,6,False,False
60,frame_0296.jpg,118.4,0.5793,0.6776,0.375,0.64,6,3,False,False
61,frame_0076.jpg,30.4,0.5777,0.5624,0.375,0.92,5,3,False,False
62,frame_0286.jpg,114.4,0.576,0.746,0.25,0.64,7,2,False,False
63,frame_0287.jpg,114.8,0.5724,0.6478,0.375,0.68,6,3,False,False
64,frame_0089.jpg,35.6,0.5712,0.5323,0.75,0.4,6,6,False,False
65,frame_0098.jpg,39.2,0.5711,0.7512,0.625,0.04,9,5,False,False
66,frame_0275.jpg,110.0,0.5694,0.7587,0.5,0.2,6,4,False,False
67,frame_0014.jpg,5.6,0.5689,0.5127,0.375,1.0,5,3,False,False
68,frame_0114.jpg,45.6,0.5683,0.6496,0.625,0.28,6,5,False,False
69,frame_0029.jpg,11.6,0.5671,0.5842,0.25,1.0,6,2,False,False
70,frame_0396.jpg,158.4,0.5644,0.7648,0.5,0.16,8,4,False,False
71,frame_0030.jpg,12.0,0.563,0.4259,0.5,1.0,7,4,False,False
72,frame_0033.jpg,13.2,0.5591,0.5682,0.25,1.0,7,2,False,False
73,frame_0373.jpg,149.2,0.557,0.675,0.625,0.16,8,5,False,False
74,frame_0130.jpg,52.0,0.5567,0.6705,0.125,0.92,4,1,False,False
75,frame_0306.jpg,122.4,0.5563,0.6416,0.625,0.24,8,5,False,False
76,frame_0386.jpg,154.4,0.5559,0.6407,0.625,0.24,7,5,False,False
77,frame_0129.jpg,51.6,0.5558,0.6846,0.125,0.88,5,1,False,False
78,frame_0111.jpg,44.4,0.5548,0.9706,0.125,0.16,2,1,False,False
79,frame_0210.jpg,84.0,0.5546,0.6123,0.375,0.68,3,3,False,False
80,frame_0011.jpg,4.4,0.5522,0.5543,0.25,1.0,4,2,False,False
81,frame_0289.jpg,115.6,0.5495,0.645,0.25,0.76,5,2,False,False
82,frame_0123.jpg,49.2,0.547,0.763,0.125,0.64,6,1,False,False
83,frame_0105.jpg,42.0,0.5465,0.761,0.5,0.08,7,4,False,False
84,frame_0278.jpg,111.2,0.5444,0.7357,0.375,0.32,8,3,False,False
85,frame_0009.jpg,3.6,0.5441,0.5381,0.25,1.0,2,2,False,False
86,frame_0274.jpg,109.6,0.5437,0.7233,0.5,0.16,6,4,False,False
87,frame_0330.jpg,132.0,0.5417,0.6924,0.625,0.04,9,5,False,False
88,frame_0133.jpg,53.2,0.5405,0.456,0.375,1.0,9,3,False,False
89,frame_0132.jpg,52.8,0.535,0.4449,0.375,1.0,6,3,False,False
90,frame_0298.jpg,119.2,0.5324,0.6908,0.25,0.56,5,2,False,False
91,frame_0390.jpg,156.0,0.532,0.6569,0.625,0.08,8,5,False,False
92,frame_0397.jpg,158.8,0.5295,0.754,0.375,0.2,8,3,False,False
93,frame_0018.jpg,7.2,0.5253,0.5007,0.25,1.0,4,2,False,False
94,frame_0183.jpg,73.2,0.5198,0.7236,0.5,0.04,5,4,False,False
95,frame_0080.jpg,32.0,0.5187,0.4333,0.5,0.76,6,4,False,False
96,frame_0388.jpg,155.2,0.5158,0.5926,0.625,0.16,8,5,False,False
97,frame_0020.jpg,8.0,0.5135,0.477,0.25,1.0,4,2,False,False
